"","gender","age","attitude","deep","stra","surf","points"
"34","F",3.1,2.4,3.66666666666667,3,2.58333333333333,1.2
"35","M",2,4.2,4.5,3.25,1.58333333333333,1
"36","F",3.9,1.6,4.08333333333333,1.875,2.83333333333333,1.1
"37","M",3.8,3.1,3.83333333333333,4.375,1.83333333333333,2
"38","M",2.4,3.8,3.25,3.625,2.41666666666667,2.6
"39","M",2.6,3.8,2.33333333333333,2.5,3.25,3.1
"40","M",2.5,3.3,3.33333333333333,1.25,3.41666666666667,2
"41","F",3,1.7,4.08333333333333,4,3.41666666666667,2.3
"42","F",2.5,2.5,2.91666666666667,3,3.16666666666667,1.2
"43","M",3,3.2,3.33333333333333,2.5,3.5,2.4
"44","F",4.8,3.5,3.83333333333333,4.875,2.66666666666667,1.7
"45","F",2.4,3.2,3.66666666666667,5,2.41666666666667,2.9
"46","F",4,4.2,4.66666666666667,4.375,3.58333333333333,2.3
"47","M",2.5,3.1,3.75,3.25,2.08333333333333,2.8
"48","F",2.3,3.9,3.41666666666667,4,3.75,3.1
"49","F",2.5,1.9,4.16666666666667,3.125,2.91666666666667,2.3
"50","F",2.3,2.1,2.91666666666667,2.5,2.91666666666667,2.5
"51","M",2.7,2.5,4.16666666666667,3.125,2.41666666666667,1.8
"52","M",2.5,3.2,3.58333333333333,3.25,3,1.9
"53","M",2.3,3.2,2.83333333333333,2.125,3.41666666666667,2.2
"54","F",2.3,2.6,4,2.75,2.91666666666667,2.5
"55","F",2.3,2.3,2.91666666666667,2.375,3.25,2.1
"56","F",4.5,3.8,3,3.125,3.25,0.9
"57","F",2.2,2.8,4.08333333333333,4,2.33333333333333,2.8
"58","F",2.3,3.3,2.91666666666667,4,3.25,2.5
"59","M",2.1,4.8,3.5,2.25,2.5,2.9
"60","M",2.1,4,4.33333333333333,3.25,1.75,3.3
"61","F",2.1,4,4.25,3.625,2.25,3.3
"62","F",2.1,4.7,3.41666666666667,3.625,2.08333333333333,2.5
"63","F",2.6,2.3,3.08333333333333,2.5,2.83333333333333,1.8
"64","F",2.5,3.1,4.58333333333333,1.875,2.83333333333333,2.2
"65","F",2.6,2.7,3.41666666666667,2,2.41666666666667,1.7
"66","M",2.1,4.1,3.41666666666667,1.875,2.25,2.5
"67","F",2.3,3.4,3.41666666666667,4,2.83333333333333,2.8
"68","F",2.2,2.5,3.58333333333333,2.875,2.25,2.2
"69","F",2.2,2.1,1.58333333333333,3.875,1.83333333333333,2.6
"70","F",2.2,1.4,3.33333333333333,2.5,2.91666666666667,1.1
"71","F",2.3,1.9,4.33333333333333,2.75,2.91666666666667,2.9
"72","M",2.2,3.7,4.41666666666667,4.5,2.08333333333333,2.2
"73","M",2.3,3.2,4.83333333333333,3.375,2.33333333333333,2.1
"74","M",2.4,2.8,3.08333333333333,2.625,2.41666666666667,2.8
"75","F",2.2,4.1,3,4.125,2.75,3.3
"76","F",2.3,2.5,4.08333333333333,2.625,3.25,1.6
"77","M",2.2,2.8,4.08333333333333,2.25,1.75,3.1
"78","M",2,3.8,3.75,2.75,2.58333333333333,2.2
"79","M",2.2,3.1,3.08333333333333,3,3.33333333333333,3.1
"80","M",2.1,3.5,4.75,1.625,2.83333333333333,2.3
"81","F",2.2,3.6,4.25,1.875,2.5,2.6
"82","F",2.3,2.6,4.16666666666667,3.375,2.41666666666667,1.2
"83","M",2.1,4.4,4.41666666666667,3.75,2.41666666666667,2.6
"84","M",2.2,4.5,3.83333333333333,2.125,2.58333333333333,3.1
"85","M",2.9,3.2,3.33333333333333,2.375,3,1.9
"86","F",2.9,3.9,3.16666666666667,2.75,2,3
"87","F",2.1,2.5,3.16666666666667,3.125,3.41666666666667,1.2
"88","M",2.8,3.3,3.83333333333333,3.5,2.83333333333333,1.7
"89","F",2.1,3.3,4.25,2.625,2.25,1.8
"90","F",3,3,3.83333333333333,3.375,2.75,1.9
"91","F",2.1,2.9,3.66666666666667,2.25,3.91666666666667,2.1
"92","M",2.3,3.3,3.83333333333333,3,2.33333333333333,2.4
"93","F",2.1,3.3,3.83333333333333,4,2.75,2.8
"94","F",2.1,3.5,3.83333333333333,3.5,2.75,1.7
"95","F",2,3.6,3.66666666666667,2.625,2.91666666666667,1.8
"96","M",2.2,3.7,4.33333333333333,2.5,2.08333333333333,1.7
"97","M",2.1,4.2,3.75,3.75,3.66666666666667,2.3
"98","M",2.1,3.2,4.16666666666667,3.625,2.83333333333333,2.6
"99","F",2,5,4,4.125,3.41666666666667,2.8
"100","M",2.2,4.7,4,4.375,1.58333333333333,3.1
"101","F",2,3.6,4.58333333333333,2.625,2.91666666666667,2.7
"102","F",2,3.6,3.66666666666667,4,3,2.5
"103","M",2.4,2.9,3.66666666666667,2.75,2.91666666666667,2.3
"104","F",2,3.5,3.83333333333333,2.75,2.66666666666667,2.1
"105","F",1.9,4,2.58333333333333,1.375,3,2.7
"106","F",2.1,3.5,3.5,2.25,2.75,2.8
"107","F",2.1,3.2,3.08333333333333,3.625,3.08333333333333,2.3
"108","F",2.2,2.6,4.25,3.75,2.5,2.1
"109","F",2.5,2,3.16666666666667,4,2.33333333333333,2.5
"110","F",2.1,2.7,3.08333333333333,3.125,3,1.1
"111","F",2.2,3.2,4.16666666666667,3.25,3,1.9
"112","F",2.5,3.3,2.25,2.125,4,2.4
"113","F",2,3.9,3.33333333333333,2.875,3.25,2.8
"114","M",2.4,3.3,3.08333333333333,1.5,3.5,2.1
"115","F",2,3,2.75,2.5,3.5,2.4
"116","M",2.1,3.7,3.25,3.25,3.83333333333333,2.4
"117","F",2,2.5,4,3.625,2.91666666666667,2
"118","F",2,2.9,3.58333333333333,3.875,2.16666666666667,1.9
"119","M",3.1,3.9,4.08333333333333,3.875,1.66666666666667,3
"120","F",2,3.6,4.25,2.375,2.08333333333333,2.2
"121","F",2.2,2.9,3.41666666666667,3,2.83333333333333,1.6
"122","F",2.2,2.1,3.08333333333333,3.375,3.41666666666667,1.6
"123","M",2.1,3.1,3.5,2.75,3.33333333333333,1.9
"124","M",2.2,4,3.66666666666667,4.5,2.58333333333333,3
"125","F",2.1,3.1,4.25,2.625,2.83333333333333,2.3
"126","F",2.1,2.3,4.25,2.75,3.33333333333333,1.9
"127","F",2.1,2.8,3.83333333333333,3.25,3,1.8
"128","F",2.1,3.7,4.41666666666667,4.125,2.58333333333333,2.8
"129","F",2,2.6,3.5,3.375,2.41666666666667,2.1
"130","F",2.1,2.4,3.58333333333333,2.75,3.58333333333333,1.9
"131","F",2.5,3,3.66666666666667,4.125,2.08333333333333,2.7
"132","M",2.1,2.8,2.08333333333333,3.25,4.33333333333333,2.4
"133","F",2.4,2.9,4.25,2.875,2.66666666666667,2.1
"134","F",2,2.4,3.58333333333333,2.875,3,2
"135","M",2.1,3.1,4,2.375,2.66666666666667,2.8
"136","F",2,1.9,3.33333333333333,3.875,2.16666666666667,1.2
"137","F",2,2,3.5,2.125,2.66666666666667,2.1
"138","F",1.8,3.8,3.16666666666667,4,2.25,2.8
"139","F",2.1,3.4,3.58333333333333,3.25,2.66666666666667,3.1
"140","F",1.9,3.7,3.41666666666667,2.625,3.33333333333333,1.8
"141","F",2.1,2.9,4.25,2.75,3.5,2.5
"142","F",2,2.3,3.25,4,2.75,1.9
"143","M",2.1,4.1,4.41666666666667,3,2,2.1
"144","F",2,2.7,3.25,3.375,2.83333333333333,1.6
"145","F",2.1,3.5,3.91666666666667,3.875,3.5,0.7
"146","F",2,3.4,3.58333333333333,3.25,2.5,2.1
"147","F",1.8,3.2,4.5,3.375,3.16666666666667,1.7
"148","M",2.2,3.3,3.58333333333333,4.125,3.08333333333333,2.2
"149","F",2.2,3.3,3.66666666666667,3.5,2.91666666666667,1.8
"150","M",2.4,3.5,2.58333333333333,2,3.16666666666667,2.5
"151","F",1.9,3.2,4.16666666666667,3.625,2.5,2.4
"152","F",2,3.1,3.25,3.375,3.83333333333333,2.3
"153","F",2,2.8,4.33333333333333,2.125,2.25,2.3
"154","F",1.7,1.7,3.91666666666667,4.625,3.41666666666667,2.6
"155","M",1.9,1.9,2.66666666666667,2.5,3.75,1.2
"156","F",2,3.5,3.08333333333333,2.875,3,3.2
"157","F",2,2.4,3.75,2.75,2.58333333333333,2.2
"158","F",2,2.1,4.16666666666667,4,3.33333333333333,2
"159","F",2,2.9,4.16666666666667,2.375,2.83333333333333,2.1
"160","F",1.9,1.9,3.25,3.875,3,2.3
"161","F",1.9,2,4.08333333333333,3.375,2.83333333333333,2
"162","F",2.2,4.2,2.91666666666667,1.75,3.16666666666667,2.8
"163","M",3.5,4.1,3.83333333333333,3,2.75,3.1
"164","F",1.8,3.7,3.16666666666667,2.625,3.41666666666667,1.8
"165","F",1.9,3.6,3.41666666666667,2.625,3,3
"166","M",2.1,1.8,4.08333333333333,3.375,2.66666666666667,1.9
